region,hora_publicacion,estacion,ica,o3,no2,so2,pm25,pm10,co
A Coruña,13:00del13/04/2019,CORLAB1,36,47ug/m3,49ug/m3,8ug/m3,8.63ug/m3,21.38ug/m3,110ug/m3
A Coruña,13:00del13/04/2019,TORREDEHÉRCULES,38,81ug/m3,14ug/m3,1ug/m3,,22.13ug/m3,130ug/m3
A Coruña,13:00del13/04/2019,FERROL,58,81ug/m3,22ug/m3,17ug/m3,15.38ug/m3,22.38ug/m3,200ug/m3
A Coruña,13:00del13/04/2019,NOIA,34,74.34ug/m3,2.25ug/m3,0.83ug/m3,,,
A Coruña,11:00del13/04/2019,COMPOSTELA,46,87ug/m3,8.7ug/m3,1ug/m3,11ug/m3,19.63ug/m3,100ug/m3
A Coruña,12:00del13/04/2019,SANCAETANO,59,84ug/m3,13ug/m3,2.2ug/m3,15.75ug/m3,18.13ug/m3,110ug/m3
Álava,12:00del13/04/2019,ELCIEGO,48,103ug/m3,8ug/m3,,,9.38ug/m3,
Álava,12:00del13/04/2019,VALDEREJO,80,127ug/m3,2ug/m3,2ug/m3,6.5ug/m3,9.75ug/m3,160ug/m3
Álava,11:00del13/04/2019,LLODIO,29,62ug/m3,36ug/m3,4ug/m3,,20ug/m3,180ug/m3
Álava,12:00del13/04/2019,AGURAIN,71,121ug/m3,5ug/m3,,,11.63ug/m3,
Álava,13:00del13/04/2019,AVENIDAGASTEIZ,25,,49ug/m3,,,17.63ug/m3,300ug/m3
Álava,13:00del13/04/2019,LOSHERRAN,42,,28ug/m3,,10ug/m3,13.88ug/m3,
Álava,12:00del13/04/2019,TRESMARZO,38,,41ug/m3,3ug/m3,9.13ug/m3,14ug/m3,310ug/m3
Albacete,13:00del13/04/2019,ALBACETE,48,103ug/m3,13ug/m3,2ug/m3,11.5ug/m3,15.75ug/m3,530ug/m3
Alicante,12:00del13/04/2019,ALCOI-VERGEDELSLLIRIS,46,100ug/m3,8ug/m3,4ug/m3,,,100ug/m3
Alicante,13:00del13/04/2019,ALACANT-RABASSA,71,121ug/m3,4ug/m3,4ug/m3,6.38ug/m3,13.88ug/m3,200ug/m3
Alicante,13:00del13/04/2019,ALACANT-ELPLÁ,64,117ug/m3,4ug/m3,4ug/m3,,,100ug/m3
Alicante,11:00del13/04/2019,ALACANT-FLORIDA-BABEL,47,102ug/m3,8ug/m3,4ug/m3,,,
Alicante,12:00del13/04/2019,BENIDORM,44,94ug/m3,11ug/m3,,,,
Alicante,13:00del13/04/2019,ELX-AGROALIMENTARI,67,120ug/m3,6ug/m3,4ug/m3,,,100ug/m3
Alicante,12:00del13/04/2019,ELX-PARCDEBOMBERS,51,109ug/m3,13ug/m3,7ug/m3,,,100ug/m3
Alicante,13:00del13/04/2019,ELDA-LACY,80,127ug/m3,3ug/m3,3ug/m3,8.75ug/m3,10.75ug/m3,
Alicante,12:00del13/04/2019,ORIHUELA,51,109ug/m3,6ug/m3,3ug/m3,,,100ug/m3
Alicante,13:00del13/04/2019,ELPINÓS,67,119ug/m3,,,,,
Alicante,12:00del13/04/2019,TORREVIEJA,8,,15ug/m3,,,,
