region,hora_publicacion,estacion,ica,o3,no2,so2,pm25,pm10,co
b'A Coru\xc3\xb1a',b'13:00del13/04/2019',b'CORLAB1',b'36',b'47ug/m3',b'49ug/m3',b'8ug/m3',b'8.63ug/m3',b'21.38ug/m3',b'110ug/m3'
b'A Coru\xc3\xb1a',b'13:00del13/04/2019',b'TORREDEH\xc3\x89RCULES',b'38',b'81ug/m3',b'14ug/m3',b'1ug/m3',b'',b'22.13ug/m3',b'130ug/m3'
b'A Coru\xc3\xb1a',b'13:00del13/04/2019',b'FERROL',b'58',b'81ug/m3',b'22ug/m3',b'17ug/m3',b'15.38ug/m3',b'22.38ug/m3',b'200ug/m3'
b'A Coru\xc3\xb1a',b'13:00del13/04/2019',b'NOIA',b'34',b'74.34ug/m3',b'2.25ug/m3',b'0.83ug/m3',b'',b'',b''
b'A Coru\xc3\xb1a',b'11:00del13/04/2019',b'COMPOSTELA',b'46',b'87ug/m3',b'8.7ug/m3',b'1ug/m3',b'11ug/m3',b'19.63ug/m3',b'100ug/m3'
b'A Coru\xc3\xb1a',b'12:00del13/04/2019',b'SANCAETANO',b'59',b'84ug/m3',b'13ug/m3',b'2.2ug/m3',b'15.75ug/m3',b'18.13ug/m3',b'110ug/m3'
b'\xc3\x81lava',b'12:00del13/04/2019',b'ELCIEGO',b'48',b'103ug/m3',b'8ug/m3',b'',b'',b'9.38ug/m3',b''
b'\xc3\x81lava',b'12:00del13/04/2019',b'VALDEREJO',b'80',b'127ug/m3',b'2ug/m3',b'2ug/m3',b'6.5ug/m3',b'9.75ug/m3',b'160ug/m3'
b'\xc3\x81lava',b'11:00del13/04/2019',b'LLODIO',b'29',b'62ug/m3',b'36ug/m3',b'4ug/m3',b'',b'20ug/m3',b'180ug/m3'
b'\xc3\x81lava',b'12:00del13/04/2019',b'AGURAIN',b'71',b'121ug/m3',b'5ug/m3',b'',b'',b'11.63ug/m3',b''
b'\xc3\x81lava',b'13:00del13/04/2019',b'AVENIDAGASTEIZ',b'25',b'',b'49ug/m3',b'',b'',b'17.63ug/m3',b'300ug/m3'
b'\xc3\x81lava',b'13:00del13/04/2019',b'LOSHERRAN',b'42',b'',b'28ug/m3',b'',b'10ug/m3',b'13.88ug/m3',b''
b'\xc3\x81lava',b'12:00del13/04/2019',b'TRESMARZO',b'38',b'',b'41ug/m3',b'3ug/m3',b'9.13ug/m3',b'14ug/m3',b'310ug/m3'
